policy_id,regime_v357,seed_pair_rank_v357,seed_added_loan_id_v357,seed_dropped_loan_id_v357,second_added_loan_id_v357,second_dropped_loan_id_v357,action_signature_v357,seed_return_delta_v357,return_delta_v357,objective_return_after_two_swap_v357,exposure_after_two_swap_v357,loss_mean_after_two_swap_v357,cvar90_after_two_swap_v357,source_min_slack_after_two_swap_v357,max_source_share_after_two_swap_v357,source_cap_violations_after_two_swap_v357,first_source_block_family_v357,first_source_block_id_v357,cvar_two_swap_feasible_v357,two_add_two_drop_entering_column_v357,claim_boundary_v357
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,4,161494495,159706782,161983601,139234645,add=161494495|161983601;drop=139234645|159706782,0.6418503361315686,0.506902631871796,4427.645015153511,843775.0,60242.567724871085,96528.01602821588,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,144622469,129082051,add=144622469|161983601;drop=129082051|148128009,1.002428012871739,0.504308629841475,4427.64242115148,843775.0,60150.07484816096,96458.65879024306,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,140423185,148145784,add=140423185|161455148;drop=148145784|159706782,2.2203513257361465,0.4928903207708544,4427.63100284241,843775.0,60240.69041561096,96509.74814381337,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,147190807,139234645,add=147190807|161983601;drop=139234645|148128009,1.002428012871739,0.47092607364584893,4427.609038595286,843775.0,60112.12282995814,96408.12407499814,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,5,147190807,148128009,161983601,139234645,add=147190807|161983601;drop=139234645|148128009,0.6058737779056216,0.47092607364584893,4427.609038595286,843775.0,60112.12282995814,96408.12407499814,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,151083962,148017643,add=145977956|151083962;drop=148017643|164875488,1.8757778281410395,0.45931345290665604,4427.597425974546,843775.0,60124.988526994435,96420.60180841015,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,163545352,146052690,add=161455148|163545352;drop=146052690|159706782,2.2203513257361465,0.4574804780208588,4427.59559299966,843775.0,60261.82784749054,96545.8436716538,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,145955296,148017643,add=145955296|161455148;drop=148017643|159706782,2.2203513257361465,0.4562721836577346,4427.594384705297,843775.0,60249.85256266633,96527.09875131011,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,160128011,151825245,add=145977956|160128011;drop=151825245|164875488,1.8757778281410395,0.4524619516518662,4427.590574473291,843775.0,60118.25636471684,96414.35220743387,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,149467955,139708433,add=145977956|149467955;drop=139708433|164875488,1.8757778281410395,0.44569390231668393,4427.583806423956,843775.0,60121.00029273281,96420.8074650991,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
