variant,source_family,source_value,n,defended_cell,coverage,avg_width
localized_score_replay,original_grade,C,19375,True,0.9518967741935483,0.9955159590047602
localized_score_replay,original_grade,D,14681,True,0.9438049179211225,0.9965542572954924
localized_score_replay,original_grade,E,1243,True,0.9251810136765889,0.9960735768199087
localized_score_replay,original_grade,F,16,False,0.875,0.9954360888462767
localized_score_replay,original_grade,G,7,False,1.0,0.9977053159189461
localized_score_replay,term,36,58759,True,0.9474123113055022,0.8199521131921911
localized_score_replay,term,60,20932,True,0.9560959296770495,0.9886771228391353
localized_score_replay,score_decile,0,6606,True,0.9498940357250983,0.08085358893087737
localized_score_replay,score_decile,1,8449,True,0.937625754527163,0.4620571386809175
localized_score_replay,score_decile,2,7523,True,0.9610527715007311,0.9960327089233292
localized_score_replay,score_decile,3,8659,True,0.9577318397043538,0.9972726668012053
localized_score_replay,score_decile,4,8507,True,0.9344069589749618,0.9920843819177882
localized_score_replay,score_decile,5,8125,True,0.955076923076923,0.9989377134472469
localized_score_replay,score_decile,6,9012,True,0.9738126941855304,0.999572123086964
localized_score_replay,score_decile,7,8408,True,0.9405328258801142,0.9971113353283505
localized_score_replay,score_decile,8,7641,True,0.9477817039654496,0.9969592144893835
localized_score_replay,score_decile,9,6761,True,0.9358083123798254,0.997237966680531
localized_score_replay,income_band,inc_q1,13754,True,0.946124763705104,0.9263984543838464
localized_score_replay,income_band,inc_q2,14302,True,0.951055796392113,0.8849180984669003
localized_score_replay,income_band,inc_q3,16556,True,0.9524643633727954,0.8748543183256543
localized_score_replay,income_band,inc_q4,16457,True,0.9523606975754998,0.8486457515843225
localized_score_replay,income_band,inc_q5,18622,True,0.9464611749543551,0.8069230770291579
localized_score_replay,dti_band,dti_q1,15054,True,0.9422080510163412,0.7626936436512362
localized_score_replay,dti_band,dti_q2,15799,True,0.9537945439584784,0.8205191519544831
localized_score_replay,dti_band,dti_q3,16014,True,0.9549144498563756,0.8741755205669663
localized_score_replay,dti_band,dti_q4,16180,True,0.953584672435105,0.9136231833029893
localized_score_replay,dti_band,dti_q5,16436,True,0.9435385738622536,0.9405860402497707
localized_score_replay,dti_band,nan,208,True,0.9615384615384616,0.9069303429189937
localized_score_replay,state_top20,AZ,2260,True,0.9517699115044248,0.8756338388400919
localized_score_replay,state_top20,CA,11409,True,0.945919887807871,0.866436359351472
localized_score_replay,state_top20,CO,1754,True,0.9640820980615735,0.8086980208729603
localized_score_replay,state_top20,FL,6078,True,0.9481737413622903,0.8915167230332625
localized_score_replay,state_top20,GA,2636,True,0.9495447647951442,0.8772201985861514
localized_score_replay,state_top20,IL,2675,True,0.9416822429906542,0.8623302761158657
localized_score_replay,state_top20,IN,1328,True,0.954066265060241,0.8634875231991127
localized_score_replay,state_top20,MA,1856,True,0.9423491379310345,0.853389688961613
localized_score_replay,state_top20,MD,1817,True,0.9477160154100165,0.8693740980169022
localized_score_replay,state_top20,MI,2048,True,0.95849609375,0.8753132491276945
localized_score_replay,state_top20,MN,1423,True,0.9522136331693605,0.8518316422904234
localized_score_replay,state_top20,NC,2315,True,0.9507559395248381,0.8649913304431748
localized_score_replay,state_top20,NJ,2583,True,0.9512195121951219,0.8763591514110428
localized_score_replay,state_top20,NV,1402,True,0.9500713266761769,0.8824596493575263
localized_score_replay,state_top20,NY,5395,True,0.9436515291936979,0.8637233879378768
localized_score_replay,state_top20,OH,2438,True,0.9569319114027892,0.87910512889193
localized_score_replay,state_top20,PA,2487,True,0.9473260956976277,0.857721868716151
localized_score_replay,state_top20,TX,6499,True,0.9439913832897369,0.8556211667765833
localized_score_replay,state_top20,VA,2122,True,0.9575871819038643,0.8424240987931094
localized_score_replay,state_top20,WA,1978,True,0.9605662285136501,0.8527649105754229
localized_score_replay,state_top20,other_state,17188,True,0.9524086572026995,0.8590087474307414
utility_directed_loss_replay,original_grade,A,22796,True,0.984646429198105,0.9934189752074178
utility_directed_loss_replay,original_grade,B,21573,True,0.9993510406526677,0.9998601253430335
utility_directed_loss_replay,original_grade,C,19375,True,0.9999483870967741,0.9999976503905967
utility_directed_loss_replay,original_grade,D,14681,True,1.0,0.9999996947680311
utility_directed_loss_replay,original_grade,E,1243,True,1.0,1.0
utility_directed_loss_replay,original_grade,F,16,False,1.0,1.0
utility_directed_loss_replay,original_grade,G,7,False,1.0,1.0
utility_directed_loss_replay,term,36,58759,True,0.9938222229786076,0.9974141385257542
utility_directed_loss_replay,term,60,20932,True,0.999904452512899,0.9999452547499544
utility_directed_loss_replay,score_decile,0,6606,True,0.9498940357250983,0.9772564708342696
utility_directed_loss_replay,score_decile,1,8449,True,0.9959758551307847,0.9996632964527938
utility_directed_loss_replay,score_decile,2,7523,True,1.0,1.0
utility_directed_loss_replay,score_decile,3,8659,True,1.0,1.0
utility_directed_loss_replay,score_decile,4,8507,True,1.0,1.0
utility_directed_loss_replay,score_decile,5,8125,True,1.0,1.0
utility_directed_loss_replay,score_decile,6,9012,True,1.0,1.0
utility_directed_loss_replay,score_decile,7,8408,True,1.0,1.0
utility_directed_loss_replay,score_decile,8,7641,True,1.0,1.0
utility_directed_loss_replay,score_decile,9,6761,True,1.0,1.0
utility_directed_loss_replay,income_band,inc_q1,13754,True,0.9986185836847462,0.9992628103191245
utility_directed_loss_replay,income_band,inc_q2,14302,True,0.9975527898196056,0.998622888889573
utility_directed_loss_replay,income_band,inc_q3,16556,True,0.9967383425948296,0.9982672810670343
utility_directed_loss_replay,income_band,inc_q4,16457,True,0.9958680196876709,0.997792494452877
utility_directed_loss_replay,income_band,inc_q5,18622,True,0.9898507142090001,0.9968726238575938
utility_directed_loss_replay,dti_band,dti_q1,15054,True,0.9883751826757008,0.9959298642343766
utility_directed_loss_replay,dti_band,dti_q2,15799,True,0.9955060446863726,0.9973550627689516
utility_directed_loss_replay,dti_band,dti_q3,16014,True,0.9962532783814163,0.9984264947916894
utility_directed_loss_replay,dti_band,dti_q4,16180,True,0.9977750309023485,0.9990700020482935
utility_directed_loss_replay,dti_band,dti_q5,16436,True,0.9986006327573619,0.9994229472209009
utility_directed_loss_replay,dti_band,nan,208,True,1.0,0.9985603073636522
utility_directed_loss_replay,state_top20,AZ,2260,True,0.9982300884955753,0.9983204022329845
utility_directed_loss_replay,state_top20,CA,11409,True,0.9957051450609168,0.9982013542224832
utility_directed_loss_replay,state_top20,CO,1754,True,0.9982896237172177,0.9972725067084109
utility_directed_loss_replay,state_top20,FL,6078,True,0.9975320829220138,0.9986240458233073
utility_directed_loss_replay,state_top20,GA,2636,True,0.9950682852807283,0.9981894167671757
utility_directed_loss_replay,state_top20,IL,2675,True,0.9902803738317757,0.997877521551491
utility_directed_loss_replay,state_top20,IN,1328,True,0.9969879518072289,0.9981911888136092
utility_directed_loss_replay,state_top20,MA,1856,True,0.9962284482758621,0.9976793078641459
utility_directed_loss_replay,state_top20,MD,1817,True,0.9966978536048432,0.998236011027139
utility_directed_loss_replay,state_top20,MI,2048,True,0.99658203125,0.9983183521990089
utility_directed_loss_replay,state_top20,MN,1423,True,0.9957835558678847,0.997851044994952
utility_directed_loss_replay,state_top20,NC,2315,True,0.9982721382289417,0.9979530465285792
utility_directed_loss_replay,state_top20,NJ,2583,True,0.9961285327138986,0.9983882096754138
utility_directed_loss_replay,state_top20,NV,1402,True,0.9957203994293866,0.9984684462804917
utility_directed_loss_replay,state_top20,NY,5395,True,0.9962928637627433,0.998076749267933
utility_directed_loss_replay,state_top20,OH,2438,True,0.9954881050041017,0.9983196184053696
utility_directed_loss_replay,state_top20,PA,2487,True,0.9963811821471653,0.9980159575417339
utility_directed_loss_replay,state_top20,TX,6499,True,0.9941529466071704,0.9978910458321871
utility_directed_loss_replay,state_top20,VA,2122,True,0.9976437323279924,0.9977220777547683
utility_directed_loss_replay,state_top20,WA,1978,True,0.9954499494438828,0.9977856373371116
utility_directed_loss_replay,state_top20,other_state,17188,True,0.993425645799395,0.9979414705184684
