policy_id,frontier_family,realized_return_proxy_lgd45,net_return_after_contractual_ecl_v4,regret_gross_v4,regret_net_ifrs9_v4,auditability_score_v4,online_min,mdcp_worst,max_proxy_gap_v4,pareto_candidate_v4
paper4_v4_local_rt0p1775_g0p500_u0p000,CRPTO local v4,173714.6533967239,83983.98960561925,4333.449210527469,2300.7082224608166,0.8960942292873233,0.9047619047619048,0.8333333333333334,0.26920748878041134,False
paper4_v4_local_rt0p1750_g0p500_u0p075,CRPTO local v4,174556.0224913794,86014.4868704323,3492.0801158719696,270.2109576477669,0.8945302019168442,0.9047619047619048,0.8181818181818181,0.26334238614111505,False
paper4_v4_local_rt0p1775_g0p450_u0p000,CRPTO local v4,174441.0154594637,80594.34467356147,3607.087147787679,5690.353154518598,0.8943751083544925,0.9,0.8333333333333334,0.273213563351002,False
paper4_v4_local_rt0p1775_g0p450_u0p025,CRPTO local v4,174441.0154594637,80594.34467356147,3607.087147787679,5690.353154518598,0.8943751083544925,0.9,0.8333333333333334,0.273213563351002,False
paper4_v4_local_rt0p1775_g0p450_u0p050,CRPTO local v4,174441.0154594637,80594.34467356147,3607.087147787679,5690.353154518598,0.8943751083544925,0.9,0.8333333333333334,0.273213563351002,False
paper4_v4_local_rt0p1775_g0p450_u0p075,CRPTO local v4,174441.0154594637,80594.34467356147,3607.087147787679,5690.353154518598,0.8943751083544925,0.9,0.8333333333333334,0.273213563351002,False
paper4_v4_local_rt0p1775_g0p450_u0p100,CRPTO local v4,174441.0154594637,80594.34467356147,3607.087147787679,5690.353154518598,0.8943751083544925,0.9,0.8333333333333334,0.273213563351002,False
paper4_v4_local_rt0p1725_g0p475_u0p075,CRPTO local v4,175419.62596103313,85934.89891983828,2628.476646218245,349.79890824179165,0.893547976415635,0.9,0.8181818181818181,0.2631261212945334,False
paper4_v4_local_rt0p1775_g0p500_u0p025,CRPTO local v4,174355.17192184576,84539.87500039577,3692.9306854056194,1744.8228276843001,0.892382970590296,0.9047619047619048,0.8181818181818181,0.27352868940142216,False
paper4_v4_local_rt0p1750_g0p400_u0p000,CRPTO local v4,172888.58249999856,76348.44136264252,5159.520107252814,9936.256465437546,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
