policy_id,source_family,base_cap_v45,max_share_v45,strict_pass_v45,committee_pass_v45,relaxed_pass_v45,pooling_rule_v45
v13_spo_regret_return_recovery,score_decile__original_grade,0.1,0.7761943608830878,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,income_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,income_band__dti_band,0.35,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,original_grade,0.35,0.5343331712435697,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,original_grade__state_top20,0.35,0.5343331712435697,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,period,0.35,0.5373275663501651,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,score_decile,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,score_decile__original_grade,0.35,0.5343331712435697,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_static_reference,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
