policy_id,loan_id,issue_month,loan_amnt,funded_exposure,surrogate_score_v8,pd_high_alpha01,qhat_v4,weak_source_proxy,realized_return_proxy_lgd45
v8_dfl_surrogate_w0p02_s0p06_e0p20,138064898,2018-08-01,35000.0,35000.0,1570.2001451408,0.1839309243202601,0.8436816790555313,0.3333333333333333,4746.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,150606866,2019-04-01,40000.0,40000.0,1546.9127449090847,0.10310586199790928,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,145082939,2018-12-01,35000.0,35000.0,1490.0486517954496,0.10310586199790928,0.8436816790555313,0.3333333333333333,3752.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,168744464,2020-04-01,15000.0,15000.0,1443.270872957503,0.2222387509610818,0.8311503416856492,0.3333333333333333,2992.4999999999995
v8_dfl_surrogate_w0p02_s0p06_e0p20,133102867,2018-05-01,40000.0,40000.0,1442.9127449090847,0.10310586199790928,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,141934180,2018-10-01,12025.0,12025.0,1430.3205818681904,0.6638629128366242,0.8436816790555313,0.3333333333333333,3279.2175
v8_dfl_surrogate_w0p02_s0p06_e0p20,127164594,2018-01-01,40000.0,40000.0,1425.8580881535095,0.10310586199790928,0.55,0.3333333333333333,3776.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,127016013,2018-01-01,35150.0,35150.0,1425.207794964897,0.10310586199790928,0.55,0.3333333333333333,3490.395
v8_dfl_surrogate_w0p02_s0p06_e0p20,161754317,2019-11-01,35000.0,35000.0,1402.2001451408,0.1839309243202601,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,144238649,2018-12-01,40000.0,40000.0,1397.0096180760722,0.14560681191071068,0.8436816790555313,0.3333333333333333,4524.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,128154080,2018-02-01,35000.0,35000.0,1385.0486517954496,0.10310586199790928,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,147304886,2019-02-01,19600.0,19600.0,1380.9201342953872,0.1504443713101714,0.8436816790555313,0.3333333333333333,2943.92
v8_dfl_surrogate_w0p02_s0p06_e0p20,140978428,2018-10-01,8500.0,8500.0,1362.8376410543976,0.1888440017299619,0.8436816790555313,0.6666666666666666,2317.95
v8_dfl_surrogate_w0p02_s0p06_e0p20,139281504,2018-08-01,30000.0,30000.0,1345.885838692115,0.1839309243202601,0.8436816790555313,0.3333333333333333,4068.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,146319589,2019-01-01,15000.0,15000.0,1340.1836780060582,0.6638629128366242,0.8436816790555313,0.6666666666666666,3946.5
v8_dfl_surrogate_w0p02_s0p06_e0p20,145967287,2019-01-01,40000.0,40000.0,1333.8739320541576,0.11999851469006251,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,155647069,2019-07-01,40000.0,40000.0,1333.8739320541576,0.11999851469006251,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,166275730,2020-02-01,30000.0,30000.0,1330.0286117066776,0.12959865275371413,0.8311503416856492,0.3333333333333333,3513.0000000000005
v8_dfl_surrogate_w0p02_s0p06_e0p20,156829766,2019-08-01,28875.0,28875.0,1315.9151377312453,0.10310586199790928,0.8436816790555313,0.3333333333333333,3182.0249999999996
v8_dfl_surrogate_w0p02_s0p06_e0p20,126793501,2018-01-01,35000.0,35000.0,1297.005286171077,0.12959865275371413,0.55,0.3333333333333333,3647.0
