policy_id,scenario,n_funded,funded_exposure,contractual_ecl_v4,realized_return_proxy_lgd45,stage1_share,stage2_share,stage3_share,actual_default_status_share,net_return_after_contractual_ecl_v4
paper4_v4_local_rt0p1725_g0p425_u0p075,baseline,337,1000000.0,93734.50412601906,174291.23238256914,0.0,1.0,0.0,0.0,80556.72825655008
paper4_v4_local_rt0p1725_g0p425_u0p075,optimistic,337,1000000.0,27972.08351837671,174291.23238256914,0.7091988130563798,0.29080118694362017,0.0,0.0,146319.14886419242
paper4_v4_local_rt0p1725_g0p425_u0p075,severe,337,1000000.0,335868.4843790691,174291.23238256914,0.0,1.0,0.0,0.0,-161577.25199649998
paper4_v4_local_rt0p1725_g0p425_u0p100,adverse,337,1000000.0,316022.647193611,174291.23238256914,0.0,1.0,0.0,0.0,-141731.41481104188
paper4_v4_local_rt0p1725_g0p425_u0p100,baseline,337,1000000.0,93734.50412601906,174291.23238256914,0.0,1.0,0.0,0.0,80556.72825655008
paper4_v4_local_rt0p1725_g0p425_u0p100,optimistic,337,1000000.0,27972.08351837671,174291.23238256914,0.7091988130563798,0.29080118694362017,0.0,0.0,146319.14886419242
paper4_v4_local_rt0p1725_g0p425_u0p100,severe,337,1000000.0,335868.4843790691,174291.23238256914,0.0,1.0,0.0,0.0,-161577.25199649998
paper4_v4_local_rt0p1725_g0p450_u0p000,adverse,339,1000000.0,310184.38338674256,176164.69889836514,0.0,1.0,0.0,0.0,-134019.68448837742
paper4_v4_local_rt0p1725_g0p450_u0p000,baseline,339,1000000.0,91576.09583216404,176164.69889836514,0.0,1.0,0.0,0.0,84588.6030662011
paper4_v4_local_rt0p1725_g0p450_u0p000,optimistic,339,1000000.0,27082.884795617872,176164.69889836514,0.7138643067846607,0.2861356932153392,0.0,0.0,149081.81410274727
paper4_v4_local_rt0p1725_g0p450_u0p000,severe,339,1000000.0,329883.33117320045,176164.69889836514,0.0,1.0,0.0,0.0,-153718.6322748353
paper4_v4_local_rt0p1725_g0p450_u0p025,adverse,339,1000000.0,310629.1094023489,176280.75429098553,0.0,1.0,0.0,0.0,-134348.3551113634
paper4_v4_local_rt0p1725_g0p450_u0p025,baseline,339,1000000.0,91584.23677033432,176280.75429098553,0.0,1.0,0.0,0.0,84696.5175206512
paper4_v4_local_rt0p1725_g0p450_u0p025,optimistic,339,1000000.0,26969.46004181804,176280.75429098553,0.7197640117994101,0.28023598820059,0.0,0.0,149311.2942491675
paper4_v4_local_rt0p1725_g0p450_u0p025,severe,339,1000000.0,330428.8359352691,176280.75429098553,0.0,1.0,0.0,0.0,-154148.08164428355
paper4_v4_local_rt0p1725_g0p450_u0p050,adverse,338,1000000.0,310946.1775868752,176702.59108533437,0.0,1.0,0.0,0.0,-134243.58650154085
paper4_v4_local_rt0p1725_g0p450_u0p050,baseline,338,1000000.0,91592.45943040756,176702.59108533437,0.0,1.0,0.0,0.0,85110.13165492681
paper4_v4_local_rt0p1725_g0p450_u0p050,optimistic,338,1000000.0,26908.409320752784,176702.59108533437,0.7189349112426036,0.28106508875739644,0.0,0.0,149794.1817645816
