regime_v56,soft_slack_v56,scenario_row,scenario_loss_v56,scenario_return_v56,eta_v56,excess_loss_v56
strict,True,76,61650.811912301775,4464.305819839077,103174.21234954952,0.0
strict,True,77,88848.7889352081,-21228.089879830277,103174.21234954952,0.0
strict,True,78,92472.81706305665,-24454.973626910774,103174.21234954952,0.0
strict,True,79,88644.07676202116,-20828.042606259103,103174.21234954952,0.0
strict,True,80,70958.81702380805,-4311.614134098942,103174.21234954952,0.0
strict,True,81,60438.39974716245,5721.807244006718,103174.21234954952,0.0
strict,True,82,82350.93443033,-14793.827477629997,103174.21234954952,0.0
strict,True,83,66615.83639686713,30.87221789452306,103174.21234954952,0.0
strict,True,84,65946.64657127575,390.63344907173257,103174.21234954952,0.0
strict,True,85,63259.92228302266,3150.314845406259,103174.21234954952,0.0
strict,True,86,106834.91933236641,-38298.71896626196,103174.21234954952,3660.7069828168896
strict,True,87,72297.62558114463,-5350.986129133851,103174.21234954952,0.0
strict,True,88,48654.88577932401,16553.545816473234,103174.21234954952,0.0
strict,True,89,45105.58574888524,19913.64078968679,103174.21234954952,0.0
strict,True,90,108024.95699604703,-39549.0508195137,103174.21234954952,4850.744646497507
strict,True,91,72117.5147063831,-5019.005221638545,103174.21234954952,0.0
strict,True,92,42532.60086234839,22131.314135474986,103174.21234954952,0.0
strict,True,93,56489.59454397443,9406.819365934638,103174.21234954952,0.0
strict,True,94,108457.76749481105,-39876.292583414644,103174.21234954952,5283.555145261533
strict,True,95,89064.8741714919,-21235.69026624717,103174.21234954952,0.0
strict,True,96,57324.564640788325,8455.623451252863,103174.21234954952,0.0
strict,True,97,54613.241886311465,11161.776403660393,103174.21234954952,0.0
strict,True,98,103311.86782671513,-34838.827162927504,103174.21234954952,137.65547716560832
strict,True,99,95749.9715406091,-27703.990096724345,103174.21234954952,0.0
strict,True,100,50255.043091791864,14974.301673316575,103174.21234954952,0.0
strict,True,101,56345.82626314027,9511.652863875712,103174.21234954952,0.0
strict,True,102,91048.18231746825,-23085.676327058347,103174.21234954952,0.0
strict,True,103,84234.14492420286,-16587.044379854047,103174.21234954952,0.0
strict,True,104,41451.88858013154,23022.800128354625,103174.21234954952,0.0
strict,True,105,69398.5349496657,-2673.308738792548,103174.21234954952,0.0
strict,True,106,80854.51560258013,-13347.30924309756,103174.21234954952,0.0
strict,True,107,79831.37605366368,-12401.612224162884,103174.21234954952,0.0
strict,True,108,52875.88880215419,12514.402705504415,103174.21234954952,0.0
strict,True,109,63180.92549460272,3117.1553337434166,103174.21234954952,0.0
strict,True,110,83902.21618319243,-16196.418858684969,103174.21234954952,0.0
strict,True,111,49433.8334665508,16114.21479205587,103174.21234954952,0.0
strict,True,112,63255.53704907198,2994.403531729681,103174.21234954952,0.0
strict,True,113,72510.48794800762,-5733.074505109268,103174.21234954952,0.0
strict,True,114,103174.21234954952,-34779.965316339025,103174.21234954952,0.0
strict,True,115,59131.69696641518,7221.756739577148,103174.21234954952,0.0
strict,True,116,47692.00676785514,17382.72851781128,103174.21234954952,0.0
strict,True,117,64566.11917854569,1826.7158026542197,103174.21234954952,0.0
strict,True,118,75669.76112000455,-8300.662527264023,103174.21234954952,0.0
strict,True,119,87153.17156196502,-19485.68366109865,103174.21234954952,0.0
strict,True,120,53797.75750413073,11728.377063125707,103174.21234954952,0.0
strict,True,121,64818.11679362375,1711.9142301688653,103174.21234954952,0.0
strict,True,122,107286.37948595248,-38732.24971601241,103174.21234954952,4112.167136402961
strict,True,123,74342.17805998184,-7248.320860092602,103174.21234954952,0.0
strict,True,124,50526.616551754065,14852.416213979439,103174.21234954952,0.0
strict,True,125,53515.46133061359,12210.484541530379,103174.21234954952,0.0
strict,True,126,79319.30500810267,-11822.698439081058,103174.21234954952,0.0
strict,True,127,77196.32275085527,-9902.698012123163,103174.21234954952,0.0
