policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,cvar90_simulated_loss,n_paths
paper4_v4_local_rt0p1750_g0p400_u0p000,baseline,-5649.170851019589,-58238.052683498216,-3298.876005774,42423.614221866235,0.46,228392.60263063177,250
paper4_v4_local_rt0p1750_g0p400_u0p000,severe,-10153.542953939152,-74421.52904930324,-7793.160601046566,46679.64921238201,0.412,390567.7270586709,250
paper4_v4_local_rt0p1750_g0p400_u0p025,adverse,-7329.016604152233,-63746.81232414335,-7462.902932234825,53618.80364385216,0.396,315066.4081474302,250
paper4_v4_local_rt0p1750_g0p400_u0p025,baseline,-3928.1882080772607,-55486.93553798759,-3267.2975213805967,49951.120744160944,0.476,227751.04055322148,250
paper4_v4_local_rt0p1750_g0p400_u0p025,severe,-10155.816610173273,-69009.9393823965,-10998.044557247737,46928.658356705986,0.38,392041.03153111204,250
paper4_v4_local_rt0p1750_g0p400_u0p050,adverse,-7472.216931883331,-67529.88347935477,-7565.224099142202,52481.07244875514,0.432,326963.2741417775,250
paper4_v4_local_rt0p1750_g0p400_u0p050,baseline,-2974.009038989866,-57939.71034069615,-3624.6236327394818,48460.3364428088,0.444,225844.81213190668,250
paper4_v4_local_rt0p1750_g0p400_u0p050,severe,-9025.783652928678,-65306.404635704566,-8343.810588046392,46161.21029600246,0.408,392460.2049890072,250
paper4_v4_local_rt0p1750_g0p400_u0p075,adverse,-7369.7759017199305,-66969.24329341222,-7755.5591755732385,44841.4470955162,0.42,313792.0038086728,250
paper4_v4_local_rt0p1750_g0p400_u0p075,baseline,-3774.762321620013,-61177.934804985955,-4265.131628376045,51461.3442030183,0.448,228140.0057546138,250
paper4_v4_local_rt0p1750_g0p400_u0p075,severe,-7036.492841812701,-64856.30228501421,-7065.1649771517405,50741.50647499298,0.432,390080.37864857825,250
paper4_v4_local_rt0p1750_g0p400_u0p100,adverse,-7583.836388431174,-59039.6604933129,-7124.490980940074,45343.81145750198,0.416,316018.2808107143,250
paper4_v4_local_rt0p1750_g0p400_u0p100,baseline,-3886.8913624395605,-55809.03167298022,-5050.770783812357,50282.28802606608,0.44,227636.55490097313,250
paper4_v4_local_rt0p1750_g0p400_u0p100,severe,-7708.414119085138,-71896.31720243528,-7852.287064379427,49969.167669492184,0.436,390408.53915043705,250
paper4_v4_local_rt0p1750_g0p425_u0p000,adverse,-3891.860475344051,-65195.63817858404,-4291.737975235646,53047.63173272437,0.44,308669.40166335757,250
paper4_v4_local_rt0p1750_g0p425_u0p000,baseline,-1997.661757477676,-59665.56133859226,-937.9406839939984,52841.393691777776,0.488,217325.52880365454,250
paper4_v4_local_rt0p1750_g0p425_u0p000,severe,-4111.64833862312,-59397.798006711695,-4972.546775901988,51741.6094974399,0.448,379157.2646880101,250
paper4_v4_local_rt0p1750_g0p425_u0p025,adverse,-4399.892622346694,-55091.43818094242,-5727.141153150282,47170.935792802375,0.468,303720.14444974734,250
paper4_v4_local_rt0p1750_g0p425_u0p025,baseline,-1210.8261495978293,-55759.924085575825,-2626.7831117999303,56274.851647019976,0.452,222656.88299311383,250
paper4_v4_local_rt0p1750_g0p425_u0p025,severe,-3327.958244292519,-57103.62282259205,-2488.635438447629,53793.30913777779,0.464,380323.27804629906,250
