policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,cvar90_simulated_loss,n_paths
paper4_v4_local_rt0p1725_g0p425_u0p050,baseline,-2113.162203914643,-58883.852429265076,-3628.9208893899013,54633.598403513184,0.468,222978.88492504985,250
paper4_v4_local_rt0p1725_g0p425_u0p050,severe,-3822.3120338617064,-60601.545994247965,-2874.1754410391004,53587.673852130494,0.456,374810.9361979538,250
paper4_v4_local_rt0p1725_g0p425_u0p075,adverse,-882.0549988896257,-49876.29878296244,-167.32381841364258,44382.822093987874,0.5,306599.36701071257,250
paper4_v4_local_rt0p1725_g0p425_u0p075,baseline,-1357.5968305223878,-64852.673659671724,-1099.6906843049292,49819.638672446425,0.488,219169.73356013908,250
paper4_v4_local_rt0p1725_g0p425_u0p075,severe,14.934642503574258,-53349.842653541295,-1198.7606294910638,55112.259501311295,0.492,373521.8025210753,250
paper4_v4_local_rt0p1725_g0p425_u0p100,adverse,-4575.170497667622,-56067.88344851534,-5543.528615306619,54606.07940064017,0.452,305493.9141510356,250
paper4_v4_local_rt0p1725_g0p425_u0p100,baseline,3036.7282840452094,-56474.75056092618,3681.9485382447674,56451.3221743201,0.548,211481.39041146173,250
paper4_v4_local_rt0p1725_g0p425_u0p100,severe,-369.3246615287216,-58231.618940657776,-3576.575915720474,59312.3690713458,0.476,369331.68912280933,250
paper4_v4_local_rt0p1725_g0p450_u0p000,adverse,5945.092983310462,-52066.31664022612,3945.227959045831,59922.01383192387,0.584,301384.1444654867,250
paper4_v4_local_rt0p1725_g0p450_u0p000,baseline,4876.263418135187,-46267.63362335903,3221.3668080212046,58231.859514439995,0.512,211038.4748207645,250
paper4_v4_local_rt0p1725_g0p450_u0p000,severe,3632.21308291624,-52418.17763966668,4252.924622910281,56378.932903446555,0.56,371034.6361532034,250
paper4_v4_local_rt0p1725_g0p450_u0p025,adverse,1685.7996405458218,-53091.64869588113,1253.7657829376258,56080.048275417306,0.508,303083.7037260474,250
paper4_v4_local_rt0p1725_g0p450_u0p025,baseline,6816.462275690265,-42806.59580503559,4354.122438890539,61611.66185101581,0.568,208158.53447055156,250
paper4_v4_local_rt0p1725_g0p450_u0p025,severe,3577.2452157720763,-54832.18857193752,8052.276893590373,60434.6880071351,0.592,372401.6325088103,250
paper4_v4_local_rt0p1725_g0p450_u0p050,adverse,2684.193947418942,-50104.31666071417,3473.7075658183603,50380.249606548125,0.544,299215.5205656814,250
paper4_v4_local_rt0p1725_g0p450_u0p050,baseline,4231.822744127146,-53679.82468123855,848.2732113798111,59296.17499710432,0.508,211526.14826098428,250
paper4_v4_local_rt0p1725_g0p450_u0p050,severe,1929.42722654645,-47840.35730084945,-186.78767921116105,58512.40456285031,0.496,375965.22510710784,250
paper4_v4_local_rt0p1725_g0p450_u0p075,adverse,701.6657359931282,-52757.97428437406,569.5772320317192,64763.52152354007,0.508,300308.38237408287,250
paper4_v4_local_rt0p1725_g0p450_u0p075,baseline,5568.653328851564,-46079.17676677384,4946.541106222452,60111.44864743409,0.544,207707.0890711533,250
paper4_v4_local_rt0p1725_g0p450_u0p075,severe,5117.314133250915,-56560.47876414153,5099.076271197824,61273.53512946501,0.544,364619.3511784268,250
paper4_v4_local_rt0p1725_g0p450_u0p100,adverse,3830.092671669114,-49503.4035510644,2296.894119320934,63389.09675401382,0.544,301365.1978062406,250
paper4_v4_local_rt0p1725_g0p450_u0p100,baseline,6069.2206713445785,-54796.18566699189,4796.452611027481,62344.529081007575,0.568,215884.94088137447,250
paper4_v4_local_rt0p1725_g0p450_u0p100,severe,3472.187997733795,-50073.32513368098,3423.6069997851273,61544.6868241537,0.54,376651.72918350034,250
paper4_v4_local_rt0p1725_g0p475_u0p000,adverse,4784.589212929942,-55432.597092024356,4549.782715063208,59051.647914391506,0.544,300025.98621724633,250
paper4_v4_local_rt0p1725_g0p475_u0p000,baseline,7478.942507959488,-49167.509777829495,9969.134114652494,59624.264124359506,0.588,210166.0807038616,250
paper4_v4_local_rt0p1725_g0p475_u0p000,severe,7029.249056767797,-51839.03426689357,4216.536279416014,67317.68774214367,0.572,365210.66372417496,250
paper4_v4_local_rt0p1725_g0p475_u0p025,adverse,8305.175890363702,-43230.03805216872,7321.016096281812,62018.29955456861,0.576,298931.8246703395,250
