left_out_policy_id,min_support,policy_month_defended_min,source_month_defended_min,avg_width_loan,policy_month_cells,source_month_cells,defended_policy_month_cells,defended_source_month_cells
paper4_v4_local_rt0p1725_g0p500_u0p025,5,0.9,0.8,0.934289202249878,3188,65129,2305,13713
paper4_v4_local_rt0p1725_g0p500_u0p050,5,0.9,0.8,0.9342866032978251,3188,65127,2305,13711
paper4_v4_local_rt0p1725_g0p500_u0p075,5,0.9,0.8,0.9342872585648854,3188,65127,2305,13712
paper4_v4_local_rt0p1725_g0p500_u0p100,5,0.9,0.8,0.9342816414496392,3188,65126,2304,13709
paper4_v4_local_rt0p1750_g0p400_u0p000,5,0.9,0.8,0.9341858923843875,3187,65147,2304,13704
paper4_v4_local_rt0p1750_g0p400_u0p025,5,0.9,0.8,0.9341894654542758,3187,65146,2304,13703
paper4_v4_local_rt0p1750_g0p400_u0p050,5,0.9,0.8,0.9341934412859156,3187,65147,2304,13703
paper4_v4_local_rt0p1750_g0p400_u0p075,5,0.9,0.8,0.9341962353188213,3187,65147,2303,13703
paper4_v4_local_rt0p1750_g0p400_u0p100,5,0.9,0.8,0.9341868053152281,3187,65147,2303,13703
paper4_v4_local_rt0p1750_g0p425_u0p000,5,0.9,0.8,0.9341993354460855,3188,65148,2305,13718
paper4_v4_local_rt0p1750_g0p425_u0p025,5,0.9,0.8,0.9341993354460855,3188,65148,2305,13718
paper4_v4_local_rt0p1750_g0p425_u0p050,5,0.9,0.8,0.9341993354460855,3188,65148,2305,13718
paper4_v4_local_rt0p1750_g0p425_u0p075,5,0.9,0.8,0.9341993354460855,3188,65148,2305,13718
paper4_v4_local_rt0p1750_g0p425_u0p100,5,0.9,0.8,0.9341993354460855,3188,65148,2305,13718
paper4_v4_local_rt0p1750_g0p450_u0p000,5,0.9,0.8,0.9342479174894537,3188,65129,2305,13722
paper4_v4_local_rt0p1750_g0p450_u0p025,5,0.9,0.8,0.9342449735273691,3188,65131,2305,13723
paper4_v4_local_rt0p1750_g0p450_u0p050,5,0.9,0.8,0.9342434312219522,3188,65129,2305,13719
paper4_v4_local_rt0p1750_g0p450_u0p075,5,0.9,0.8,0.9342388562861166,3188,65132,2305,13720
paper4_v4_local_rt0p1750_g0p450_u0p100,5,0.9,0.8,0.9342405844740622,3188,65131,2305,13719
paper4_v4_local_rt0p1750_g0p475_u0p000,5,0.9,0.8,0.9342683547047476,3188,65133,2305,13719
paper4_v4_local_rt0p1750_g0p475_u0p025,5,0.9,0.8,0.9342626799104631,3188,65130,2305,13717
paper4_v4_local_rt0p1750_g0p475_u0p050,5,0.9,0.8,0.9342576381206403,3188,65131,2305,13719
paper4_v4_local_rt0p1750_g0p475_u0p075,5,0.9,0.8,0.9342536936355138,3188,65127,2305,13717
