policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,floor_v10,tested_cvar_cap_v10
v10_cvar_decomp_floor125000_r1_i2_cap292500,severe_high,2.2,0.7,255925.1396198616,47158.35080615588,125000.0,292500.0
v10_cvar_decomp_floor125000_r1_i3_cap258750,baseline_mid,1.0,0.45,78750.00000007874,0.0,125000.0,258750.0
v10_cvar_decomp_floor125000_r1_i3_cap258750,baseline_high,1.12,0.48,94080.00000009408,0.0,125000.0,258750.0
v10_cvar_decomp_floor125000_r1_i3_cap258750,adverse_mid,1.4,0.55,134700.41506556488,0.0,125000.0,258750.0
v10_cvar_decomp_floor125000_r1_i3_cap258750,adverse_high,1.65,0.58,164742.1273719443,0.0,125000.0,258750.0
v10_cvar_decomp_floor125000_r1_i3_cap258750,severe_mid,1.9,0.65,208766.7888137063,0.0,125000.0,258750.0
v10_cvar_decomp_floor125000_r1_i3_cap258750,severe_high,2.2,0.7,255925.1396198616,4237.290570206881,125000.0,258750.0
v10_cvar_decomp_floor125000_r1_i4_cap241875,baseline_mid,1.0,0.45,78750.00000007873,0.0,125000.0,241875.0
v10_cvar_decomp_floor125000_r1_i4_cap241875,baseline_high,1.12,0.48,94080.00000009408,0.0,125000.0,241875.0
v10_cvar_decomp_floor125000_r1_i4_cap241875,adverse_mid,1.4,0.55,134541.98496942528,0.0,125000.0,241875.0
v10_cvar_decomp_floor125000_r1_i4_cap241875,adverse_high,1.65,0.58,161100.99830271504,0.0,125000.0,241875.0
v10_cvar_decomp_floor125000_r1_i4_cap241875,severe_mid,1.9,0.65,200610.76652475965,0.0,125000.0,241875.0
v10_cvar_decomp_floor125000_r1_i4_cap241875,severe_high,2.2,0.7,241874.99999999962,0.0,125000.0,241875.0
v10_cvar_decomp_floor125000_r2_i1_cap300000,baseline_mid,1.0,0.45,78750.00000007874,0.0,125000.0,300000.0
v10_cvar_decomp_floor125000_r2_i1_cap300000,baseline_high,1.12,0.48,94080.00000009408,0.0,125000.0,300000.0
v10_cvar_decomp_floor125000_r2_i1_cap300000,adverse_mid,1.4,0.55,134700.41506556488,0.0,125000.0,300000.0
v10_cvar_decomp_floor125000_r2_i1_cap300000,adverse_high,1.65,0.58,164742.1273719443,0.0,125000.0,300000.0
v10_cvar_decomp_floor125000_r2_i1_cap300000,severe_mid,1.9,0.65,208766.7888137063,0.0,125000.0,300000.0
v10_cvar_decomp_floor125000_r2_i1_cap300000,severe_high,2.2,0.7,255925.1396198616,47158.35080615588,125000.0,300000.0
v10_cvar_decomp_floor125000_r2_i3_cap255000,baseline_mid,1.0,0.45,78750.00000007874,0.0,125000.0,255000.0
v10_cvar_decomp_floor125000_r2_i3_cap255000,baseline_high,1.12,0.48,94080.00000009409,0.0,125000.0,255000.0
v10_cvar_decomp_floor125000_r2_i3_cap255000,adverse_mid,1.4,0.55,134696.9472502935,0.0,125000.0,255000.0
v10_cvar_decomp_floor125000_r2_i3_cap255000,adverse_high,1.65,0.58,164500.06812572968,0.0,125000.0,255000.0
v10_cvar_decomp_floor125000_r2_i3_cap255000,severe_mid,1.9,0.65,208228.34055450207,0.0,125000.0,255000.0
v10_cvar_decomp_floor125000_r2_i3_cap255000,severe_high,2.2,0.7,254999.99999999953,0.0,125000.0,255000.0
v10_cvar_decomp_floor125000_r2_i4_cap232500,baseline_mid,1.0,0.45,74507.64494801183,0.0,125000.0,232500.0
v10_cvar_decomp_floor125000_r2_i4_cap232500,baseline_high,1.12,0.48,89011.79983122482,0.0,125000.0,232500.0
v10_cvar_decomp_floor125000_r2_i4_cap232500,adverse_mid,1.4,0.55,127300.05698633184,0.0,125000.0,232500.0
v10_cvar_decomp_floor125000_r2_i4_cap232500,adverse_high,1.65,0.58,153332.97297122938,0.0,125000.0,232500.0
v10_cvar_decomp_floor125000_r2_i4_cap232500,severe_mid,1.9,0.65,191905.30657067196,0.0,125000.0,232500.0
v10_cvar_decomp_floor125000_r2_i4_cap232500,severe_high,2.2,0.7,232499.99999999974,0.0,125000.0,232500.0
v10_cvar_decomp_floor125000_r3_i1_cap375000,baseline_mid,1.0,0.45,78750.00000007874,0.0,125000.0,375000.0
v10_cvar_decomp_floor125000_r3_i1_cap375000,baseline_high,1.12,0.48,94080.00000009408,0.0,125000.0,375000.0
v10_cvar_decomp_floor125000_r3_i1_cap375000,adverse_mid,1.4,0.55,134700.41506556488,0.0,125000.0,375000.0
v10_cvar_decomp_floor125000_r3_i1_cap375000,adverse_high,1.65,0.58,164742.1273719443,0.0,125000.0,375000.0
v10_cvar_decomp_floor125000_r3_i1_cap375000,severe_mid,1.9,0.65,208766.7888137063,0.0,125000.0,375000.0
v10_cvar_decomp_floor125000_r3_i1_cap375000,severe_high,2.2,0.7,255925.1396198616,47158.35080615588,125000.0,375000.0
v10_cvar_decomp_floor125000_r3_i2_cap262500,baseline_mid,1.0,0.45,78750.00000007874,0.0,125000.0,262500.0
v10_cvar_decomp_floor125000_r3_i2_cap262500,baseline_high,1.12,0.48,94080.00000009408,0.0,125000.0,262500.0
v10_cvar_decomp_floor125000_r3_i2_cap262500,adverse_mid,1.4,0.55,134700.41506556488,0.0,125000.0,262500.0
v10_cvar_decomp_floor125000_r3_i2_cap262500,adverse_high,1.65,0.58,164742.1273719443,0.0,125000.0,262500.0
v10_cvar_decomp_floor125000_r3_i2_cap262500,severe_mid,1.9,0.65,208766.7888137063,0.0,125000.0,262500.0
v10_cvar_decomp_floor125000_r3_i2_cap262500,severe_high,2.2,0.7,255925.1396198616,9862.29057020688,125000.0,262500.0
v10_cvar_decomp_floor125000_r3_i4_cap234375,baseline_mid,1.0,0.45,75517.48449210532,0.0,125000.0,234375.0
v10_cvar_decomp_floor125000_r3_i4_cap234375,baseline_high,1.12,0.48,90218.22147323516,0.0,125000.0,234375.0
v10_cvar_decomp_floor125000_r3_i4_cap234375,adverse_mid,1.4,0.55,129022.0787851618,0.0,125000.0,234375.0
v10_cvar_decomp_floor125000_r3_i4_cap234375,adverse_high,1.65,0.58,155066.92984680968,0.0,125000.0,234375.0
v10_cvar_decomp_floor125000_r3_i4_cap234375,severe_mid,1.9,0.65,193756.64496528328,0.0,125000.0,234375.0
v10_cvar_decomp_floor125000_r3_i4_cap234375,severe_high,2.2,0.7,234374.99999999974,0.0,125000.0,234375.0
