policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,343,1000000.0,164689.02196237698,-9.760069067479478,0.042926,0.143365,0.0,0.042926,0.226683,0.083317,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,164273.35080211036,-8.028853465888645,0.041975,0.140719,0.0,0.041975,0.223324,0.082604,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,339,1000000.0,164022.0917987445,-11.22533577071618,0.042975,0.156642,0.0,0.042975,0.241153,0.084511,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,163947.7110439952,-9.766431050953388,0.042975,0.144086,0.0,0.042975,0.227043,0.082957,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,338,1000000.0,163897.7680059752,-7.560050337636374,0.042975,0.155326,0.0,0.042975,0.239897,0.084571,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,340,1000000.0,163847.98926196393,-8.037690915078946,0.041975,0.141562,0.0,0.041975,0.223703,0.082141,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.5,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,337,1000000.0,163748.62808782174,-9.320870450275091,0.041975,0.152638,0.0,0.041975,0.236319,0.083681,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,340,1000000.0,163116.36710524172,-7.684131386756691,0.042975,0.148401,0.0,0.042975,0.23178,0.083379,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,342,1000000.0,162753.66070085138,-8.523269844754445,0.040015,0.134188,0.0,0.040015,0.215385,0.081197,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,162351.17715355012,-8.015977935424146,0.041975,0.139696,0.0,0.041975,0.222863,0.083167,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,339,1000000.0,162326.28515545817,-8.53783250057843,0.041975,0.13543,0.0,0.041975,0.215944,0.080513,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.5,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,341,1000000.0,162164.37781018534,-9.781608784538797,0.041975,0.145103,0.0,0.041975,0.227551,0.082449,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,160978.00154814168,-8.50632935682783,0.038975,0.133529,0.0,0.038975,0.215088,0.081559,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
