policy_id,reference_policy_id,n_months,paired_monthly_diff,bootstrap_p05,bootstrap_p50,bootstrap_p95,prob_diff_positive,bootstrap_scope
paper4_v4_local_rt0p1725_g0p475_u0p000,paper1_economic_champion,33,-374.4075029139781,-7327.19671259964,78.76049642460521,6617.798326107241,0.508,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p400_u0p000,paper1_economic_champion,33,-441.0809158465436,-11354.514456072959,-594.0621658465454,9695.491968552642,0.462,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p400_u0p000,paper1_economic_champion,33,-441.0809158465436,-12253.3477600155,-193.43271431499807,9632.45679517347,0.488,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p400_u0p025,paper1_economic_champion,33,-551.4509158443198,-11858.402545330458,-673.4467079423358,8576.194517270595,0.464,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p400_u0p025,paper1_economic_champion,33,-551.4509158443198,-11832.353750036234,360.2043277440923,8994.282461133134,0.52,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p400_u0p050,paper1_economic_champion,33,-562.4309158473698,-10136.607995509132,-311.9879286708664,9738.807600104594,0.492,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p400_u0p050,paper1_economic_champion,33,-562.4309158473698,-10604.487196635593,-275.4726690440011,9839.774970115433,0.48,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p400_u0p075,paper1_economic_champion,33,-564.3509158409688,-10377.720913902725,-315.00192228930564,8817.418801886444,0.48,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p400_u0p075,paper1_economic_champion,33,-564.3509158409688,-10705.617381493621,-426.1393769792078,9952.415877699648,0.474,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p400_u0p100,paper1_economic_champion,33,-621.4209158437443,-11532.523305769351,-307.96786739195613,8630.039888514682,0.48,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p400_u0p100,paper1_economic_champion,33,-621.4209158437443,-11659.61566120148,-422.45666268370223,8992.00829970357,0.47,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p475_u0p000,paper1_economic_champion,33,-1569.99060656357,-10492.013025386583,-1362.095786077679,5394.073161042749,0.376,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p500_u0p000,paper1_economic_champion,33,-1903.6318146355911,-11732.012927887941,-348.34473626589397,7161.340074643468,0.476,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p500_u0p100,paper1_economic_champion,33,-1994.9550863876148,-14018.345636983619,-1219.3743987248947,8679.021137523736,0.436,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p475_u0p050,paper1_economic_champion,33,-2091.3390004228127,-9987.296956280672,-1919.8811989097353,5604.827202542337,0.33,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p500_u0p075,paper1_economic_champion,33,-2153.930219980109,-13326.48768940146,-1395.3958856950094,6181.205354692849,0.386,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p475_u0p025,paper1_economic_champion,33,-2218.5981508629916,-13785.70239580419,-1088.9893273416503,6732.967658657879,0.414,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p500_u0p025,paper1_economic_champion,33,-2417.535085028126,-13547.616696865334,-783.1764984683084,7605.8821588218125,0.452,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p500_u0p050,paper1_economic_champion,33,-2859.5091929986206,-12607.677805005149,-1852.968676827378,5447.514217381726,0.378,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p500_u0p000,paper1_economic_champion,33,-3058.053610149984,-17183.478099402848,-2462.4545194289117,6952.926965586235,0.372,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p500_u0p075,paper1_economic_champion,33,-3308.352015494495,-16836.414793882865,-2891.6446061369884,5909.089795093686,0.37,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p500_u0p025,paper1_economic_champion,33,-3442.80688035801,-17551.75227708739,-2817.5959239163967,6619.646524540858,0.362,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p500_u0p000,paper1_economic_champion,33,-3725.99785454321,-16997.55656376828,-2657.6749253518965,6261.200862849626,0.372,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p500_u0p050,paper1_economic_champion,33,-4013.930988513006,-15187.033819768625,-2846.5360791712483,5514.6387955132195,0.338,common observed issue-month resampling
