month,grade,n,coverage_90,coverage_95,avg_width_90,avg_width_95,gap_90,gap_95
2018-09-01,B,3348,0.8948626045400239,0.948626045400239,0.9153538303801805,0.9658270345689787,-0.005137395459976157,-0.0013739545997609737
2018-09-01,C,3250,0.8901538461538462,0.9467692307692308,0.9504385207781182,0.975536421913781,-0.009846153846153838,-0.0032307692307691482
2018-09-01,D,2112,0.900094696969697,0.9464962121212122,0.9661908711179121,0.9812297751557333,9.469696969699459e-05,-0.0035037878787878007
2018-09-01,E,660,0.8681818181818182,0.9272727272727272,0.9505815481780899,0.9638048819379177,-0.03181818181818186,-0.022727272727272707
2018-09-01,F,161,0.8509316770186336,0.8881987577639752,0.9694982838469998,0.9760899638560347,-0.04906832298136643,-0.06180124223602479
2018-09-01,G,33,0.9090909090909091,0.9393939393939394,0.9615683879829059,0.9680045064500958,0.009090909090909038,-0.010606060606060508
2018-10-01,A,4194,0.8402479732951836,0.930138292799237,0.1902287134795624,0.8860042742800786,-0.059752026704816386,-0.019861707200762968
2018-10-01,B,3790,0.8846965699208443,0.9382585751978891,0.9160405867163426,0.9660867175167742,-0.015303430079155689,-0.011741424802110823
2018-10-01,C,3652,0.8885542168674698,0.9397590361445783,0.9484900684041979,0.974225908740578,-0.011445783132530196,-0.010240963855421614
2018-10-01,D,2331,0.9021879021879022,0.9480909480909481,0.9612653134729446,0.978154896200656,0.002187902187902213,-0.0019090519090518843
2018-10-01,E,855,0.8491228070175438,0.9192982456140351,0.9434988183592803,0.95874852964571,-0.05087719298245619,-0.030701754385964897
2018-10-01,F,132,0.8181818181818182,0.8636363636363636,0.9565660022819823,0.9639236150402513,-0.08181818181818179,-0.08636363636363631
2018-10-01,G,43,0.813953488372093,0.8837209302325582,0.9776186734677683,0.9835896306550947,-0.086046511627907,-0.0662790697674418
2018-11-01,A,3228,0.8274473358116481,0.9417596034696406,0.19864677139083403,0.9092378372394512,-0.07255266418835193,-0.00824039653035935
2018-11-01,B,3299,0.8969384662018793,0.9563504092149137,0.9259012249425702,0.9717031075538464,-0.003061533798120686,0.006350409214913699
2018-11-01,C,3223,0.8848898541731306,0.9382562829661806,0.9461694085072928,0.9730592041143482,-0.015110145826869426,-0.011743717033819379
2018-11-01,D,1957,0.9070005109862034,0.9483903934593766,0.9632928080626474,0.9795222222148116,0.0070005109862033565,-0.001609606540623365
2018-11-01,E,873,0.8419243986254296,0.8991981672394044,0.9296547026513322,0.9476325881734599,-0.05807560137457046,-0.05080183276059558
2018-11-01,F,42,0.9047619047619048,0.9285714285714286,0.9427661102932442,0.9499117809047494,0.004761904761904745,-0.021428571428571352
2018-11-01,G,8,1.0,1.0,0.9549518570328221,0.9569359314485506,0.09999999999999998,0.050000000000000044
2018-12-01,A,3046,0.8282994090610637,0.9566644780039396,0.2024970721744342,0.9192394703260705,-0.07170059093893633,0.006664478003939656
2018-12-01,B,3091,0.91006146878033,0.961177612423164,0.930865912692871,0.9739222105186753,0.010061468780329985,0.011177612423164063
2018-12-01,C,2857,0.8928946447322366,0.9457472873643682,0.9449381887888245,0.9703108429293985,-0.007105355267763458,-0.004252712635631761
2018-12-01,D,1716,0.9131701631701632,0.9574592074592074,0.9605430251546221,0.9776260584978846,0.013170163170163174,0.007459207459207473
2018-12-01,E,818,0.8361858190709046,0.8997555012224939,0.9225791584235116,0.9415044253972773,-0.06381418092909541,-0.05024449877750603
2018-12-01,F,8,0.875,0.875,0.8924672313973486,0.9039639985852068,-0.025000000000000022,-0.07499999999999996
2018-12-01,G,8,0.75,0.75,0.6482943406077487,0.6642563215949179,-0.15000000000000002,-0.19999999999999996
2019-01-01,A,3164,0.8356510745891277,0.9497471554993678,0.20109479711559475,0.9167057920876227,-0.06434892541087234,-0.00025284450063212116
2019-01-01,B,3061,0.9134269846455406,0.960797125122509,0.9338808430277997,0.976442811250479,0.013426984645540596,0.010797125122509077
2019-01-01,C,2760,0.8920289855072464,0.938768115942029,0.9466722004685083,0.9731796618047249,-0.007971014492753614,-0.011231884057970931
2019-01-01,D,1572,0.910941475826972,0.9497455470737913,0.9593321185723375,0.9766598009601837,0.010941475826972025,-0.0002544529262086259
2019-01-01,E,703,0.8477951635846372,0.9075391180654339,0.9244253818571372,0.9425739344474073,-0.052204836415362776,-0.0424608819345661
2019-01-01,F,2,1.0,1.0,0.6528480166223665,0.6719006422720104,0.09999999999999998,0.050000000000000044
2019-01-01,G,3,1.0,1.0,0.7636675540534145,0.7812272172055796,0.09999999999999998,0.050000000000000044
2019-02-01,A,2383,0.8182962652119178,0.9387326898866974,0.20101818488103426,0.9155050141122271,-0.08170373478808224,-0.011267310113302509
2019-02-01,B,2214,0.9046973803071364,0.950316169828365,0.931457111044868,0.9751042063825667,0.004697380307136401,0.0003161698283650205
2019-02-01,C,2075,0.895421686746988,0.9450602409638554,0.9518309115397756,0.9765683012775717,-0.004578313253012056,-0.00493975903614452
2019-02-01,D,1265,0.9193675889328063,0.9541501976284585,0.9657690294601078,0.9813137529855102,0.019367588932806323,0.004150197628458585
2019-02-01,E,471,0.8450106157112527,0.9065817409766455,0.9382509433071149,0.9540160264801033,-0.054989384288747334,-0.0434182590233545
2019-02-01,F,3,0.6666666666666666,0.6666666666666666,0.8953138801678978,0.9018812007327531,-0.2333333333333334,-0.2833333333333333
2019-02-01,G,3,1.0,1.0,0.656187778720954,0.6722039855896909,0.09999999999999998,0.050000000000000044
2019-03-01,A,2172,0.8144567219152854,0.9479742173112339,0.20193354137004652,0.917268594707827,-0.08554327808471462,-0.0020257826887660757
2019-03-01,B,2055,0.9119221411192214,0.9586374695863747,0.9204062823322282,0.967847822698315,0.011922141119221408,0.00863746958637479
2019-03-01,C,1999,0.9149574787393697,0.9604802401200601,0.9587371152611303,0.9796504674411873,0.0149574787393697,0.010480240120060103
2019-03-01,D,1537,0.9245283018867925,0.9603122966818478,0.9711165326633487,0.9839120420287119,0.024528301886792447,0.010312296681847855
2019-03-01,E,56,0.9107142857142857,1.0,0.9526902826813435,0.9652767042170944,0.010714285714285676,0.050000000000000044
2019-03-01,F,9,0.8888888888888888,0.8888888888888888,0.8620243050007158,0.8707965440440704,-0.011111111111111183,-0.061111111111111116
2019-03-01,G,1,1.0,1.0,0.6202984949871595,0.6358367155733944,0.09999999999999998,0.050000000000000044
2019-04-01,A,2471,0.8458114123836503,0.9538648320518008,0.19977719484283632,0.9131660474280261,-0.054188587616349704,0.0038648320518008816
2019-04-01,B,2277,0.8950373298199386,0.9538866930171278,0.9199026168382465,0.9680301896068686,-0.004962670180061468,0.0038866930171278513
2019-04-01,C,2160,0.912962962962963,0.961574074074074,0.9565844738262326,0.977623312145584,0.012962962962962954,0.01157407407407407
2019-04-01,D,1655,0.9148036253776435,0.9595166163141994,0.9679715772204434,0.9819182254196546,0.014803625377643459,0.009516616314199422
2019-04-01,E,10,0.9,1.0,0.995479987082273,1.0,0.0,0.050000000000000044
2019-04-01,F,1,1.0,1.0,0.7508223746477115,0.7716905312885245,0.09999999999999998,0.050000000000000044
2019-05-01,A,2252,0.8321492007104796,0.9493783303730018,0.1994156573174463,0.911013908122456,-0.06785079928952042,-0.000621669626998167
2019-05-01,B,2001,0.912543728135932,0.9535232383808095,0.9192646997046171,0.9670280755117618,0.012543728135931964,0.00352323838080959
2019-05-01,C,1975,0.9124050632911392,0.9615189873417721,0.9569519647934647,0.9784501377616044,0.012405063291139218,0.011518987341772147
2019-05-01,D,1572,0.928117048346056,0.962468193384224,0.967751885410426,0.9810101215550687,0.028117048346055995,0.012468193384224002
2019-05-01,E,3,1.0,1.0,0.9952924560900119,1.0,0.09999999999999998,0.050000000000000044
2019-06-01,A,1934,0.859875904860393,0.9508790072388832,0.1971847106993689,0.907898896879399,-0.04012409513960702,0.0008790072388832337
2019-06-01,B,1687,0.9069353882631891,0.9543568464730291,0.916120575428422,0.9647553112232076,0.006935388263189068,0.004356846473029141
2019-06-01,C,1517,0.9011206328279499,0.946605141727093,0.9482050091589627,0.9732901479210674,0.00112063282794983,-0.0033948582729069754
2019-06-01,D,1221,0.9352989352989353,0.9647829647829648,0.9724725276680599,0.984278286284359,0.03529893529893524,0.014782964782964814
2019-06-01,F,1,1.0,1.0,0.8047387388579439,0.8264768419393356,0.09999999999999998,0.050000000000000044
2019-07-01,A,1948,0.8572895277207392,0.9558521560574949,0.19782519838761653,0.9099898998240731,-0.042710472279260836,0.005852156057494895
2019-07-01,B,1913,0.9163617354939885,0.9571353894406691,0.9166339555180378,0.9660035153041407,0.01636173549398845,0.00713538944066916
2019-07-01,C,1584,0.9116161616161617,0.9532828282828283,0.9450438365774944,0.9709528543206685,0.011616161616161635,0.0032828282828283317
2019-07-01,D,1401,0.9493219129193433,0.9721627408993576,0.9661152930670307,0.9794325717518315,0.04932191291934329,0.022162740899357658
2019-08-01,A,1570,0.8681528662420382,0.967515923566879,0.19774089756765764,0.9084470491693536,-0.031847133757961776,0.017515923566879033
2019-08-01,B,1597,0.9355040701314965,0.9686912961803381,0.9166158653686014,0.9649502037471427,0.03550407013149648,0.018691296180338157
2019-08-01,C,1284,0.9197819314641744,0.956386292834891,0.942175889127312,0.968189389500186,0.019781931464174396,0.006386292834891005
2019-08-01,D,1024,0.9365234375,0.96875,0.9572393560057326,0.9737269169106784,0.03652343749999998,0.018750000000000044
2019-09-01,A,1167,0.856898029134533,0.9562982005141388,0.19665910731123334,0.9044602758284556,-0.043101970865467076,0.006298200514138874
2019-09-01,B,1276,0.9420062695924765,0.9670846394984326,0.9085161440306146,0.9602582242136886,0.04200626959247644,0.01708463949843264
2019-09-01,C,1027,0.9328140214216164,0.9659201557935735,0.9380982966115541,0.9662097939930062,0.03281402142161638,0.01592015579357353
